Contaminant,Contaminant class,Phytoplankton,Submerged Macrophyte,Zooplankton,"Diet - Small polychaete (e.g., Harmothoe imbricata)","Diet - Large polychaete (e.g., Neanthes)",Amphipod,Cumacean,Mysid,Bivalve mollusk,Decapod crab,Crangon shrimp,Forage fish - herbivore,Forage fish - planktivore,Forage fish  - primarily benthivore,Forage fish - benthivore,Forage fish - mixed diet i,Forage fish - mixed diet ii,Indicator species 1 - Piscivore,Indicator species 2 - Benthic diet with piscivory,Indicator species 3 - Benthic and pelagic with piscivory,Indicator species 4 - Benthic without piscivory,Indicator species 5 - Benthic and pelagic without piscivory,Indicator species 6 - Benthic with herbivory,Indicator species 7 - Benthic and pelagic with herbivory,Indicator species 8- Pelagic with benthic herbivory
PCB 105,PCBs,0.196547933,0.152296525,0.513645758,1.80491587,3.78156337,1.382612989,0.881043912,0.94731996,0.911913706,4.24827012,1.785279521,0.571595776,3.881553371,7.300339634,14.64567082,4.925111052,13.13694466,10.31291798,11.06487873,11.24603615,14.74149039,5.025428831,8.35958465,2.350636183,4.448006735
PCB 110,PCBs,0.334191737,0.303776495,0.610420168,1.067258079,2.400286212,1.071609842,0.79819086,0.834664497,0.846518397,3.276860189,1.409009404,0.7678724,3.452473995,4.789085253,9.28889246,3.451200792,9.48588383,7.111635417,7.292902923,8.562937128,9.909545505,3.504090593,7.396050758,1.935148463,4.879054436
PCB 114,PCBs,0.244181104,0.199387296,0.572489883,1.529564292,3.356059424,1.32228523,0.887531561,0.9542072,0.917129449,4.054775911,1.750493349,0.665691302,3.945655768,6.667291285,13.33262128,4.617581619,12.51358803,9.685447607,10.23550552,10.99022097,13.52452864,4.663281718,8.32641366,2.298967645,4.697912563
PCB 118,PCBs,0.232389017,0.187263653,0.560216432,1.900179742,3.664218584,1.342302435,0.889503722,0.957405719,1.112976448,4.232758014,1.770715109,0.644562508,3.951286697,7.207191163,14.43383878,4.826263405,13.12346445,10.21408037,11.00102528,11.24244274,14.69555377,4.963700544,8.68841724,2.327000093,4.795202251
PCB 119,PCBs,0.311901803,0.275784411,0.610845762,1.174636193,2.653220162,1.148518798,0.83219396,0.878661809,0.873685337,3.518703698,1.517825044,0.753824491,3.647595529,5.321859092,10.43367939,3.800701321,10.42376065,7.895248347,8.1625687,9.383742979,10.937865,3.84275578,7.727209468,2.055519156,4.873152265
PCB 123,PCBs,0.246970024,0.202302013,0.575162903,1.514083055,3.329228587,1.317081033,0.886725884,0.952994773,0.916503393,4.038648862,1.744693427,0.670464205,3.942286628,6.621320544,13.23455048,4.59218387,12.45341824,9.631239869,10.16934328,10.95197592,13.43615055,4.636199399,8.31407186,2.292749175,4.709338828
PCB 126,PCBs,0.210885274,0.165956766,0.533904956,1.719953965,3.660424332,1.37029143,0.887064204,0.955007774,0.916706693,4.206620913,1.788413343,0.602290281,3.925307063,7.142037699,14.32801498,4.858803163,13.03379507,10.18624736,10.87834985,11.24987589,14.43752738,4.937284571,8.386251921,2.346228012,4.534312425
PCB 128,PCBs,0.201706934,0.15716325,0.521768151,1.783414353,3.754433871,1.383715394,0.886154881,0.953826148,0.916840968,4.250232202,1.797973121,0.583886197,3.918638814,7.29335029,14.64993242,4.933453083,13.20104054,10.34655073,11.08075008,11.33006197,14.73819038,5.023217693,8.415508147,2.360530983,4.494123447
PCB 132,PCBs,0.274700808,0.232318566,0.597429112,1.368408526,3.061157361,1.259133894,0.873539919,0.934006358,0.906620051,3.860288211,1.673821127,0.713852087,3.87952672,6.143367159,12.21196589,4.316650975,11.78182849,9.039265066,9.460912685,10.48526698,12.52259211,4.350403872,8.15858951,2.21936626,4.812968583
PCB 137,PCBs,0.190952692,0.147078765,0.505723338,1.848783045,3.843899433,1.391160849,0.880345475,0.946219801,0.912305991,4.276536582,1.791227642,0.56012287,3.878339137,7.403782349,14.86783634,4.975768163,13.2541136,10.42425189,11.20318185,11.30326423,14.95089025,5.083787247,8.385231607,2.360499824,4.426317127
PCB 138,PCBs,0.104057298,0.073355807,0.3354057,2.388173904,4.371358111,1.330724104,0.755415323,0.774221318,0.805108452,4.14035844,1.43094113,0.333232601,3.073398464,7.455601148,14.57438373,4.704184558,11.72257563,9.576105299,10.64724964,9.415978245,14.95606215,5.067580784,7.278280304,2.121768418,3.62095143
PCB 141,PCBs,0.210915704,0.165986213,0.534556898,2.32568048,4.045123316,1.374999719,0.889532776,0.958101146,1.281396266,4.429441365,1.798068677,0.603376232,3.943531644,7.882211406,15.81612824,5.103561194,13.84492581,10.88384666,11.91884551,11.55212839,16.11135075,5.339653709,9.029351689,2.36662848,4.825892753
PCB 146,PCBs,0.180406148,0.13741104,0.488853476,1.913768169,3.927806399,1.395530471,0.87267551,0.935975912,0.906243968,4.294076232,1.777348221,0.535810165,3.826896382,7.49447297,15.03843231,5.003518219,13.26162811,10.46766586,11.28949418,11.23663291,15.1248566,5.13222066,8.336452669,2.354838049,4.354188333
PCB 149,PCBs,0.252574302,0.208215147,0.580917986,1.488647253,3.28555766,1.309866485,0.886765055,0.952614132,0.917048612,4.016271675,1.739304685,0.680763334,3.947825239,6.55787493,13.105398,4.559690313,12.39053239,9.567787845,10.08402153,10.92290754,13.32028443,4.599064703,8.316558593,2.286990472,4.741765225
PCB 151,PCBs,0.258136763,0.214159385,0.585618784,1.457957175,3.230221545,1.298124012,0.884196402,0.948922483,0.915017469,3.980089826,1.72485562,0.689644515,3.93520568,6.458558173,12.89194012,4.502864718,12.25096703,9.444997152,9.937319071,10.8272333,13.12908897,4.539997116,8.283124112,2.271944633,4.761757861
PCB 153,PCBs,0.176713977,0.134077116,0.4826869,1.936702036,3.956221198,1.396359223,0.869524098,0.931728596,0.90373249,4.298238233,1.770727728,0.527070032,3.806059404,7.521859987,15.08744705,5.009884279,13.25341383,10.47485509,11.31142498,11.20365547,15.17710834,5.146491016,8.314718802,2.351502543,4.327566258
PCB 156,PCBs,0.151069159,0.111615033,0.436229675,2.097871422,4.137955362,1.391692351,0.840831424,0.892540057,0.880363328,4.297457244,1.698118571,0.463244231,3.619759778,7.642825548,15.25761206,5.002496804,13.02985734,10.40078957,11.33445916,10.83071808,15.40048214,5.203705254,8.091609353,2.307967122,4.121369739
PCB 157,PCBs,0.109079044,0.077274408,0.347104756,2.358781701,4.355084119,1.340886061,0.766733256,0.78991276,0.815624221,4.168561363,1.468562972,0.347866996,3.145761839,7.508577694,14.72620275,4.75774437,11.92844369,9.716778743,10.77698151,9.61848471,15.07420649,5.101296442,7.396328862,2.149381896,3.684163655
PCB 158,PCBs,0.186425898,0.142902686,0.498618551,1.876575841,3.880397745,1.393396635,0.877294079,0.942163664,0.909903309,4.285080418,1.786170986,0.54980731,3.857716414,7.444918258,14.94647859,4.989386911,13.26287155,10.44696608,11.24444171,11.27962304,15.02992682,5.105942187,8.366667725,2.358763629,4.396056878
PCB 167,PCBs,0.09085069,0.063231235,0.303603908,2.46101569,4.399627866,1.299088108,0.722826161,0.72916396,0.773766052,4.049772596,1.320604331,0.293942789,2.864690647,7.26523838,14.05646144,4.531443772,11.0881447,9.129257007,10.22294484,8.81415024,14.53405276,4.949288295,6.921787214,2.038257684,3.439663901
PCB 168,PCBs,0.12330232,0.088585522,0.379051049,2.272423822,4.295896272,1.364631253,0.795815597,0.830266973,0.841843056,4.232268393,1.562850201,0.388374583,3.331556101,7.61028135,15.04173395,4.878338529,12.41811888,10.0398721,11.06338188,10.1209167,15.30430706,5.168758784,7.68582665,2.216725896,3.848931243
PCB 169,PCBs,0.06940105,0.047324983,0.24876317,2.554380809,4.381887903,1.229513963,0.659835184,0.643093634,0.708195367,3.838235679,1.103239343,0.22773619,2.459740036,6.748753518,12.74869343,4.126052651,9.710806481,8.106136989,9.210504598,7.584771923,13.39476647,4.635773954,6.163624591,1.860854737,3.084139801
PCB 170,PCBs,0.10910064,0.077291343,0.347217852,2.379739085,4.382351168,1.347319691,0.769667477,0.793222923,0.820187899,4.190302303,1.481299408,0.348743398,3.170306431,7.589141159,14.91439706,4.804581308,12.0698102,9.833804438,10.90136678,9.723248713,15.2512127,5.147144466,7.463865699,2.164016998,3.70605867
PCB 174,PCBs,0.137864516,0.100502391,0.410185327,2.19776284,4.241985843,1.387814045,0.82412034,0.868923448,0.867847962,4.29485984,1.653774694,0.429265268,3.517164494,7.719724388,15.37477691,5.000795031,12.91658039,10.37112131,11.35605723,10.63030985,15.5540801,5.240232998,7.980860181,2.283873967,4.017713523
PCB 177,PCBs,0.142451832,0.104329233,0.419540166,2.168154171,4.214309085,1.391768451,0.831270353,0.878831522,0.873833941,4.303939444,1.674884031,0.441548043,3.562790417,7.71950764,15.39718831,5.017853222,13.00723243,10.42225527,11.39173316,10.73981815,15.55777872,5.242816102,8.042942683,2.297807908,4.06118073
PCB 180,PCBs,0.109332926,0.077473543,0.347755608,2.378320925,4.38149515,1.347762999,0.770176936,0.793931384,0.82065194,4.191510639,1.482982994,0.34941707,3.173553515,7.591254519,14.92065237,4.806860805,12.07877374,9.839831155,10.90684788,9.732215687,15.25593289,5.148510049,7.469041023,2.165231393,3.708887914
PCB 183,PCBs,0.118363417,0.08462177,0.368296024,2.322304821,4.344288277,1.363461295,0.789074225,0.820219391,0.837612927,4.233585332,1.544657665,0.375317499,3.293932698,7.658778747,15.12901897,4.886032389,12.39870823,10.05119874,11.0952762,10.05907536,15.40778871,5.193130813,7.656604713,2.209140138,3.814568378
PCB 187,PCBs,0.124651104,0.089674774,0.382173605,2.282523943,4.314287453,1.372691386,0.801214596,0.837106844,0.848260006,4.257546794,1.583353415,0.393012517,3.371233477,7.690209726,15.23677077,4.93095311,12.59029991,10.17358353,11.19988892,10.26263582,15.48000691,5.215170627,7.772502565,2.236101845,3.883554288
PCB 189,PCBs,0.085268994,0.059029149,0.28956567,2.51479814,4.435647891,1.290095377,0.71064244,0.711448449,0.763784594,4.027216064,1.281144939,0.277701904,2.793088168,7.250343683,13.98811133,4.49445391,10.92682138,9.031206789,10.13983748,8.637090745,14.50069034,4.936399511,6.82267463,2.013419329,3.379927642
PCB 194,PCBs,0.03244152,0.021376653,0.142855337,2.553414913,3.995895815,1.028472019,0.508569206,0.446022691,0.525945416,3.158399132,0.609570677,0.107837021,1.513161647,4.9025093,8.555292,2.880618261,6.032143322,5.12609827,6.120223148,4.546626446,9.395506875,3.504547976,4.111645574,1.365244362,2.185380629
PCB 195,PCBs,0.061918709,0.041926755,0.227941704,2.635802653,4.421502135,1.212605613,0.640136944,0.614366245,0.69099014,3.791933624,1.038210508,0.205112917,2.346777739,6.689434174,12.56708484,4.049385624,9.420788999,7.912974473,9.030149689,7.293180591,13.26445362,4.594812465,5.991445239,1.817124813,2.990612229
PCB 198,PCBs,0.064448735,0.043743584,0.234836182,2.629057319,4.433877694,1.223495,0.64901826,0.626317881,0.700961658,3.826680621,1.069016591,0.213217555,2.40395051,6.782310901,12.7917981,4.116049641,9.633918308,8.078125097,9.198109459,7.474380445,13.4688248,4.650632797,6.10770258,1.844305337,3.041925026
PCB 199,PCBs,0.100149145,0.070332633,0.326124913,2.455751275,4.439347668,1.335036623,0.751948502,0.767780557,0.805807755,4.160510921,1.425002262,0.323261159,3.063398754,7.575223161,14.82995011,4.754565486,11.83773305,9.696870542,10.7913113,9.460148084,15.21854924,5.13268167,7.318714298,2.128449196,3.614600941
PCB 200,PCBs,0.087946496,0.06103924,0.296166079,2.525992323,4.464385254,1.304353937,0.720843213,0.724604959,0.776073592,4.072993839,1.318738044,0.286573656,2.864939138,7.391422324,14.32952387,4.588402152,11.22870041,9.267920442,10.38204895,8.885236918,14.81219501,5.018826794,6.979618446,2.048551941,3.444376751
PCB 201,PCBs,0.054833038,0.036884018,0.208318295,2.647397909,4.373079303,1.179124052,0.613750762,0.579207418,0.66043545,3.68292394,0.947409527,0.182206277,2.17697739,6.391061368,11.85809413,3.841035787,8.770324567,7.40091578,8.505410484,6.74816342,12.60933127,4.415344477,5.635854744,1.733827085,2.835710447
PCB 203,PCBs,0.0526332,0.035331938,0.20212892,2.648343377,4.353201846,1.167712385,0.605050446,0.567741414,0.650055839,3.64504795,0.917796327,0.175032557,2.121069025,6.285429046,11.61141479,3.769053935,8.55078235,7.225454637,8.324375966,6.566637775,12.37803287,4.351683899,5.515462022,1.705523654,2.783812639
PCB 206,PCBs,0.02889632,0.018979276,0.131240156,8.043502742,6.139021946,1.002201219,0.490197778,0.422939721,2.201628775,4.074903336,0.556457013,0.096135283,1.407730593,8.806981935,15.24048487,4.030646517,8.834861694,7.968286085,10.00387362,5.665988865,16.87427549,5.747158383,5.79383577,1.356029998,2.932968963
PCB 209,PCBs,0.01210344,0.007830121,0.0738068,1.975725586,2.881410307,0.736915584,0.341151887,0.263321413,0.304020922,2.093913137,0.226466833,0.038312895,0.641344271,2.288912118,3.525052925,1.326378491,2.360303846,1.855316228,2.524584292,1.70542721,4.100896335,1.776790396,1.922744775,0.733055705,1.194367668
